Question1,Answer1,Question2,Answer2,Question3,Answer3,Quesion4,Answer4
"언제부터 두통이 시작 되었나요? (예: 이틀 전, 일주일 전 등)",주관식,<end>,</end>,,,,
머리의 어느 부분이 아픈가요?,전체적으로 아파요,<end>,</end>,,,,
머리의 어느 부분이 아픈가요?,왼쪽이 아파요,<end>,</end>,,,,
머리의 어느 부분이 아픈가요?,오른쪽이 아파요,<end>,</end>,,,,
머리의 어느 부분이 아픈가요?,뒤쪽이 주로 아파요,<end>,</end>,,,,
머리의 어느 부분이 아픈가요?,이마 쪽이 아파요,<end>,</end>,,,,
통증이 퍼지는 부위가 있나요?,네,통증이 어디로 뻗히나요?,오른쪽 눈 ,<end>,</end>,,
통증이 퍼지는 부위가 있나요?,네,통증이 어디로 뻗히나요?,왼쪽 눈,<end>,</end>,,
통증이 퍼지는 부위가 있나요?,네,통증이 어디로 뻗히나요?,목 뒤,<end>,</end>,,
통증이 퍼지는 부위가 있나요?,네,통증이 어디로 뻗히나요?,기타,구체적으로 적어주세요,주관식,<end>,</end>
통증이 퍼지는 부위가 있나요?,아니요,<end>,</end>,,,,
얼마나 자주 머리가 아픈가요?,하루에 한번 이상,하루에 몇번 정도 두통이 생기나요?,주관식,<end>,</end>,,
얼마나 자주 머리가 아픈가요?,일주일에 한번 이상,일주일에 몇번 정도 두통이 생기나요?,주관식,<end>,</end>,,
얼마나 자주 머리가 아픈가요?,일주일에 한번 미만,<end>,</end>,,,,
얼마나 자주 머리가 아픈가요?,이번이 처음이에요,<end>,</end>,,,,
두통은 한 번 발생하면 얼마나 오래 지속되나요?,1분 미만,<end>,</end>,,,,
두통은 한 번 발생하면 얼마나 오래 지속되나요?,1분 이상 - 1시간 미만,구체적으로 얼마나 지속되나요? (예: 30분),주관식,<end>,</end>,,
두통은 한 번 발생하면 얼마나 오래 지속되나요?,1시간 이상,구체적으로 얼마나 지속되나요? (예: 2~3시간),주관식,<end>,</end>,,
두통이 처음보다 점점 심해지나요?,점점 심해져요,<end>,</end>,,,,
두통이 처음보다 점점 심해지나요?,계속 비슷해요,<end>,</end>,,,,
두통이 처음보다 점점 심해지나요?,조금 좋아지는 편이에요,<end>,</end>,,,,
이전에도 비슷하게 아팠던 적 있나요?,있어요,어떤 상황에서 아팠나요?,주관식,<end>,</end>,,
이전에도 비슷하게 아팠던 적 있나요?,아니요 처음이에요,<end>,</end>,,,,
"통증의 양상이 어떻게 되나요? (예시 : 욱신거린다, 망치로 맞은것 같다, 멍멍하다)",주관식,<end>,</end>,,,,
"0이 하나도 아프지 않은 상태이고, 10이 죽을만큼 아픈 상태라고 했을때 어느정도 아픈가요?",주관식,<end>,</end>,,,,
두통 때문에 일상생활도 불편하실 정도인가요?,네 많이 불편해요,<end>,</end>,,,,
두통 때문에 일상생활도 불편하실 정도인가요?,아니요 그 정도 까지는 아니에요,<end>,</end>,,,,
"언제 더 심해지나요? (예시 : 특정한 냄새를 맡을 때, 없을시 없음)",주관식,<end>,</end>,,,,
하루 중 언제 더 아픈가요?,아침,<end>,</end>,,,,
하루 중 언제 더 아픈가요?,점심,<end>,</end>,,,,
하루 중 언제 더 아픈가요?,저녁,<end>,</end>,,,,
하루 중 언제 더 아픈가요?,잠들기 전,<end>,</end>,,,,
하루 중 언제 더 아픈가요?,해당 없음,<end>,</end>,,,,
이전에 머리를 다친적이 있나요?,네,<end>,</end>,,,,
이전에 머리를 다친적이 있나요?,아니요,<end>,</end>,,,,
"두통이 생기기 전에 전조증상이 있나요? (예시: 눈 앞에 별이 반짝임, 메스꺼움, 없을시 없음) ",주관식,<end>,</end>,,,,
열이 나거나 감기 증상이 있었나요?,네,<end>,</end>,,,,
열이 나거나 감기 증상이 있었나요?,아니요,<end>,</end>,,,,
물건이 두개로 보인적이 있나요?,네,<end>,</end>,,,,
물건이 두개로 보인적이 있나요?,아니요,<end>,</end>,,,,
마지막으로 궁금하거나 걱정되는 점이 있다면 자유롭게 적어주세요,주관식,<end>,</end>,,,,
